date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:39	165601/165601	---M--	200	added ('OK')	image/jpeg	etag:%221803eb9-286e1-4b9cc767%22	http://pierre.verpeaux.free.fr/rep000.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rep000.jpg	(from http://nagi.ml/photos)
18:52:40	345380/345380	---M--	200	added ('OK')	image/jpeg	etag:%221803f07-54524-4b9cc766%22	http://pierre.verpeaux.free.fr/paris1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/paris1.jpg	(from http://nagi.ml/photos)
18:52:40	336272/336272	---M--	200	added ('OK')	image/jpeg	etag:%221803f08-52190-4b9cc766%22	http://pierre.verpeaux.free.fr/paris2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/paris2.jpg	(from http://nagi.ml/photos)
18:52:43	151249/151249	---M--	200	added ('OK')	image/jpeg	etag:%221803ed2-24ed1-4b9cc767%22	http://pierre.verpeaux.free.fr/rep00.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rep00.jpg	(from http://nagi.ml/photos)
18:52:53	82494/82494	---M--	200	added ('OK')	image/jpeg	etag:%221803e96-1423e-4b9cc750%22	http://pierre.verpeaux.free.fr/dandyfact.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/dandyfact.jpg	(from http://nagi.ml/photos)
18:52:58	122121/122121	---M--	200	added ('OK')	image/jpeg	etag:%221803e0f-1dd09-4b9cc767%22	http://pierre.verpeaux.free.fr/rep0.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rep0.jpg	(from http://nagi.ml/photos)
18:53:06	159529/159529	---M--	200	added ('OK')	image/jpeg	etag:%221803ec5-26f29-4b9cc767%22	http://pierre.verpeaux.free.fr/pvmines1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/pvmines1.jpg	(from http://nagi.ml/photos)
18:53:09	66205/66205	---M--	200	added ('OK')	image/jpeg	etag:%221803f16-1029d-4b9cc73d%22	http://pierre.verpeaux.free.fr/cabds1s.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/cabds1s.jpg	(from http://nagi.ml/photos)
18:53:10	170118/170118	---M--	200	added ('OK')	image/jpeg	etag:%221803ec6-29886-4b9cc767%22	http://pierre.verpeaux.free.fr/pvmines2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/pvmines2.jpg	(from http://nagi.ml/photos)
18:53:16	141263/141263	---M--	200	added ('OK')	image/jpeg	etag:%221803ec2-227cf-4b9cc73c%22	http://pierre.verpeaux.free.fr/cab2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/cab2.jpg	(from http://nagi.ml/photos)
18:53:24	109882/109882	---M--	200	added ('OK')	image/jpeg	etag:%221803ee0-1ad3a-4b9cc764%22	http://pierre.verpeaux.free.fr/lecadd_1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/lecadd_1.jpg	(from http://nagi.ml/photos)
18:53:34	146617/146617	---M--	200	added ('OK')	image/jpeg	etag:%221803f0c-23cb9-4b9cc761%22	http://pierre.verpeaux.free.fr/Jaeger.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/Jaeger.jpg	(from http://nagi.ml/photos)
18:53:34	112264/112264	---M--	200	added ('OK')	image/jpeg	etag:%221803ec3-1b688-4b9cc76b%22	http://pierre.verpeaux.free.fr/sm1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/sm1.jpg	(from http://nagi.ml/photos)
18:53:41	105583/105583	---M--	200	added ('OK')	image/jpeg	etag:%221803ec4-19c6f-4b9cc76b%22	http://pierre.verpeaux.free.fr/sm2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/sm2.jpg	(from http://nagi.ml/photos)
18:53:45	61245/61245	---M--	200	added ('OK')	image/jpeg	etag:%221803ee9-ef3d-4b9cc76b%22	http://pierre.verpeaux.free.fr/smco1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/smco1.jpg	(from http://nagi.ml/photos)
18:53:46	71223/71223	---M--	200	added ('OK')	image/jpeg	etag:%221803edc-11637-4b9cc76b%22	http://pierre.verpeaux.free.fr/smav1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/smav1.jpg	(from http://nagi.ml/photos)
18:53:56	98052/98052	---M--	200	added ('OK')	image/jpeg	etag:%221803f12-17f04-4b9cc765%22	http://pierre.verpeaux.free.fr/mylordopera.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/mylordopera.jpg	(from http://nagi.ml/photos)
18:54:05	115337/115337	---M--	200	added ('OK')	image/jpeg	etag:%221803ecc-1c289-4b9cc74c%22	http://pierre.verpeaux.free.fr/chapron001.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/chapron001.jpg	(from http://nagi.ml/photos)
18:54:08	136669/136669	---M--	200	added ('OK')	image/jpeg	etag:%221803ecd-215dd-4b9cc74d%22	http://pierre.verpeaux.free.fr/chapron002.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/chapron002.jpg	(from http://nagi.ml/photos)
18:54:21	151411/151411	---M--	200	added ('OK')	image/jpeg	etag:%221803e10-24f73-4b9cc768%22	http://pierre.verpeaux.free.fr/rep1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rep1.jpg	(from http://nagi.ml/photos)
18:54:25	478622/478622	---M--	200	added ('OK')	image/jpeg	etag:%221803ee5-74d9e-4b9cc738%22	http://pierre.verpeaux.free.fr/03100015.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/03100015.jpg	(from http://nagi.ml/photos)
18:54:28	141776/141776	---M--	200	added ('OK')	image/jpeg	etag:%221803e11-229d0-4b9cc768%22	http://pierre.verpeaux.free.fr/rep2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rep2.jpg	(from http://nagi.ml/photos)
